102585|J.D. Kneale
104812|Peter Auksi
106310|Robert Lipson
106700|Michael Bartlett
107416|Douglass Drozdow-St. Christian
108245|Mariana Krol
109333|Robert Deane
109344|Jackie Newman
109527|Brian Diemert
110543|Diana Wood
110546|David Blair
112288|Ralph Buchal
115563|Cheryl Pearce
116403|Sid Noel
116524|Regna Darnell
118008|Gary Rollman
118965|Alan Edmunds
122875|Donald Gorassini
125562|Vojislava Grbic
125577|Bosco Chan
125700|Jeannie Gillmore
126120|Jody Culham
129357|Roberta Flemming
132091|Richard Holt
134622|James Andrews
138197|Sean Gill
143650|Vicki Esses
158772|Jim Hatch
159162|Ann Frost
166435|James Crimmins
168118|Gerard Seijts
173986|Greg Moran
175662|Lorraine Davies
175979|Stefan Kohler
179601|Phillipe Rushton
180301|Fraser Johnson
183638|Vladmir Tumanov
184607|Daniele Belanger
185124|Peter Merrifield
185919|Marguerite Kane
187726|Jonathan Burston
188011|Bernd Frohmann
188525|Elizabeth Neill
188802|Aldona Sendzikas
189945|Joel Adams
190340|Julia Emberley
192371|Krista Lysack
193025|James M Olson
193039|Susan Pepper
193721|John Dryden
194764|Dan Belliveau
195354|L. Graham Smith
197747|Suzanne Greaves
204217|Richard McLaren
204219|Randal Graham
204220|Michael Coyle
205910|Peter Hyland
207342|Chris Viger
210365|Patrick Mahon
217244|Shelley Taylor
218377|Paul Klein
220381|Lauren Briens
221986|Kim Lundberg
222385|Clive Seligman
222997|Charles Ruud
224199|Paul Milnes
225604|Dylan Gault
227155|Chris Higgins
230399|Debbie Dupuis
233717|Catherine Florence
236163|Esther Goldberg
236185|Samantha Brennan
236243|Paul Kopas
243565|Mark Perry
246931|Raija Koski
247255|Gaile MacGregor
247269|Theresa O'Donovan
251563|Gerry McKeon
251915|Bruce Hammond
254033|Michelle Loveland
256483|Frederick Ellett
258173|David Peters
258479|Alfred Chan
260051|Steve D'Arcy
262424|Vaughan Radcliffe
262642|Pj Simpson
263329|Charles Jones
263517|Brenda Murphy
264108|Paul Benedetti
272502|Brian Hart
272505|N D MacRae
281293|Barbara Bruce
282327|Paul Beamish
297628|Laura Stephenson
304011|Aaron Sigut
311726|Andy Scott
313002|Christopher Gittings
313952|Allan Salmoni
323430|Jacquie Burkell
333038|Christopher Ellis
333354|Claire Senior
334873|Stephen R Hicock
334874|Jisuo Jin
334880|Kristy F Tiampo
339878|Joanna Quinn
345970|Michael Kerr
348715|Dennis Hudecki
354387|Kierra Ladner
356131|Richard Goffin
359520|Hunter Brown
361966|Julie Shang
363867|Hesham El Naggar
364354|Margaret Kellow
367723|Lorenzo Buj
369093|Craig Miller
369677|Allison Hearn
370095|Roger Hall
371050|Gloria Gassi
371877|Angela Conti-Becker
371902|Amy Mitchell
373305|Norma Vascotto
384386|Ian Skaith
386999|Marjorie Ratcliffe
387254|James Schmeiser
388259|Nicole Lemire
388467|Anne Lausch
388473|David Darby
389416|Lorraine Dicicco
393829|Grant Huscroft
416847|Martin Sandig
416857|Barry Tepperman
421257|Andres Perez
424392|Luz Hernandez-Saenz
424534|Teresa Abada
425172|Alan Pomfret
426888|Stephen Erdle
426890|Nelson Heapy
427234|P.J. Stooke
427317|Veronica Schild
427554|Anne Skoczylas
428814|Steve Trujillo
437648|Natalie J Allen
437653|Brian Corneil
437655|Stefan Everling
437659|Peter Hoaken
437665|Albert N Katz
437667|Martin Kavaliers
437669|Rod Martin
437670|Ken McRae
437676|Sampo P Paunonen
449156|Mary Francis Dorschell
449157|Phillip Mueller
451327|Tilottama Rajan
457614|Katherine McKenna
464718|Eric Ball
468312|Tutis Vilis
468506|Alain Gagnon
469481|Mark Stephenson
469510|Stephen Adams
469524|Lily Cho
469641|Xingfu Zou
475215|Richard Moll
476813|Bob Riseling
478156|Hua Laura Wu
479144|Carolyne Gorlick
480647|Raouf Baddour
480932|Sandy Smeltzer
481077|Chantal Dawar
483479|Kim Clark
485070|Maria Ionita
486313|Amin Rizkalla
497471|Maria Wallis
499940|Patrick Dunne
507041|Shahzad Barghi
507380|Yuri Boykov
512093|John Braun
513072|Susan Koval
517713|Rick Burjaw
520776|Astrid Heyer
523585|Aj Sharma
524882|Siu-Ming Kwok
527892|Selma Purac
529419|Beth MacDougall-Shackleton
533919|Tatyana Foth
535323|Lorne Falkenstien
551202|Jamie Johnston
555922|Michael Butler
558600|Peter Brown
560005|Keiko Hiro-oka
563438|Leslie Thielen-Wilson
567912|Linda Clarke
569610|Howard Plotkin
570282|Brock Fenton
573765|Kul Bhatia
576423|Jamie Baxter
579648|Christine Tsang
588624|Andrea Willson
588692|Zine-Eddine Abid
593101|Tanya Gogan
593132|Kari Veblen
593935|Adam Parachin
594424|Hanna Marti
601687|Olga Veksler
604160|Jaylene Brinker
605185|Gareth Jones
605196|Graham Denham
605247|Geoffrey Ruelland
615444|Joyce Bruhn De Garavito
617455|Stewart Thornhill
618608|Currie Palmer
626577|Carole Creuzenet
627009|Fabian Gorodzinsky
629605|Bruce Jones
630072|Goli Rezai-Rashti
633374|Belinda Dodson
635404|David Colby
636603|Linda Eligh
639172|Dan Lajoie
642799|Laura Beres
642800|Laura Lewis
642801|Diane Humphrey
643296|James Purkis
651109|John Millar
652918|Kersi Antia
653107|Graham Wagner
681919|Christine Knapp
690533|Jennifer Boman
691873|Donna Peterson
697652|Krzysztof Worytkiewicz
697777|Gary Badcock
697974|Sydney Usprich
697975|Rande Kostal
697979|Margaret Wilkinson
698351|Jeeweon Shin
699862|Radoslav Dimitrov
707941|John Ciriello
713769|Thy Phu
713779|Ingrid Connidis
715084|Susan Edelstein
717362|Cornelia Hoogland
721427|Wayne Martino
722726|Bernd Steinbock
735424|Anita Hardeman
735998|Mitch Rothstein
737339|David Cechetto
739451|Elisabeth Davies
740655|Elaine O'Riordan
745417|Barry Hoffmaster
748979|Tom Bonnema
751553|Nancy Tausky
754926|Nancy Rhoden
755007|Sarah Khan
763313|Tim Wilson
763648|Allyson May
764188|David Vollick
764821|Ray Hughes
766136|Jennifer Hoshooley
767091|Bradley Miller
771316|Craig Greenham
777625|Kelly Wood
779602|Candace Gibson
785230|Wesley Gustavson
787477|Jeffrey Temple
790324|Pam Hanington
791962|Christine Kirouac
794327|Martin Stillman
795165|Megan Davey
795767|Clara Wren
796329|Melanie Randall
802616|Cathy Thorpe
802617|Eldon Molto
805874|Janet Johnson
806054|Theodore Osborne
807697|Srinivas Krishnamoorthy
808289|Mary Bunch
809807|Alan Hrycyshyn
811522|Mykola Polyuha
812580|Nigel Joseph
812992|Peter Durksen
812993|Douglas Fairbairn
812994|Robert MacMillan
812997|Allan Pitman
812998|Michael Van Bussel
812999|Deani Van Pelt
817258|Rhonda Gilby
818261|Slobodan Simonovic
819922|Peter Guthrie
821054|Jayshri Sabarinathan
821194|Margaret Campbell-Brown
821195|Martin Houde
822373|Andrew Walsh
826878|Kathryn Fenton
830014|Jeffrey Turco
831010|Marianne Larsen
831012|Perry Klein
831839|Jeffery Vacante
831840|Wei Wei Da
832268|Daphne Heywood
835724|Stanley Dunn
836774|Robert MacDougall
837054|Gilbert Brodie
838473|Robert Babe
839268|Lina Sunseri
850817|Ajay Kumar Ray
853796|Thomas Overend
854825|John Barnett
855786|Matthew Revington
855983|Chris Hajzler
860320|Paul-Philippe Pare
860548|Michael Tremblay
862934|Julie Aherne
863299|John de Bruyn
863642|Karen Hussey
866393|Isola Ajiferuke
867046|Ronald Trojcak
867100|Mark Speechley
867670|Linda Sabathy-Judd
875141|Kinga Pozniak
876081|Sandra Parmegiani
881407|Douglas Jones
893462|Mark Vandenbosch
894263|Karen Ching
898071|Joseph Figliomeni
898881|William McKercher
901121|Mario Levesque
902485|Suzanne Kearns
902707|Claire Gurski
906565|Walid El-Khattam
906782|Ewa Cairns
907047|Sung Kim
908005|Mark Cleveland
908033|Ileana Paul
910831|Matthew Carter
911911|Carolyn Gibson
923466|Tara Fidler-Bruno
923863|Rodney Parker
925610|Shantanu Basu
928115|Kenneth Chung
928332|Hong Ling
929035|James O'Brien
930749|Paul Frehner
930917|Dan Mellamphy
931069|Robert Hegele
931337|David Baguley
932083|Lorie Donelle
937158|Inge Sanmiya
944032|Nusha Keyghobadi
944034|Hugh Henry
945497|Polly Stringle
946695|Jeremy McNeil
947169|John Cuciurean
949757|Monica Codina
952026|Devkamal Dutta
952603|Gregory Gloor
953469|Lisa Archibald
957571|T.K. Sham
957713|Allison Konrad
959642|Steve Bland
960416|Yeen Ten Hwang
962794|Jane Edwards
964845|Dorothy Nielsen
969098|Jon Balony
969957|Nadine Morad
972350|Nadine De Moras
975746|Brent Sinclair
975997|Rozzet Jurdi
978545|Marylin Hill
982934|Frank Cameron
984075|Vijay Parsa
987365|Daniel Martin
995411|Mustaq Khan
999774|John Turri
1000578|Scott Petrie
1001740|Claus Rerup
1001741|Denis Shackel
1002191|Wendy Ellis
1002193|Tim Hill
1002544|Vivi Tryphonopolous
1007429| Parfyonova
1009648|Theresa Hyland
1013042|Melissa Jean
1018350|Simona Pruteanu
1018592|Jason Haradyn
1018865|Joseph Torchia
1022599|Kendall Sharp
1026668|Eric Tenkorang
1027360|Jose Malagon-Lopez
1028172|Nancy Platt
1028707|Ashleigh Ross
1031384|Amanda Norley
1031437|Diane Goldstein
1035589|Leah Hamilton
1037226|Diane Bryant
1039366|Saqib Ahmed Khan
1041020|J Richards
1044905|Roman Moriantes
1046972|Ben Lester
1052500|Marsha Watson
1060059|Sharon Garcia
1063915|Eric Schost
1067036|Beth Gillies
1068449|David Poolman
1073346|Rachel Bezner-Kerr
1073944|Janette McDougall
1077324|Isabelle Giroux
1078298|P Ferguson
1087347|Cameron Anderson
1087666|C.Y. Kang
1087917|Collette Southam
1090198|Nicholas Spence
1093138|Christian Smith
1093225|Craig Hall
1093867|Sharon Sliwinski
1101288|Brian Neff
1101616|Anna Esselment
1101630|Bjarni Tryggvason
1105337|Glen Koehn
1107040|Michael Groden
1108129|Lara Karaian
1108396|Stephen Lomber
1110923|James Fraser
1116743|Sally McNamee
1117456|Carmen Barbu
1117801|Jiang Dazhi
1129192|Chris Wilbur
1129992|Len Luyt
1129995|Oleg Seminikhin
1131636|Sophie Roland-Wieczorek
1131939|Susan O'Neill
1132537|Ivan Chow
1136663|Amanda Etches-Johnson
1136668|Meredith Farkas
1136860|Raihan Uddin
1141422|Keri Lamb
1143060|Amirnaser Yazdani
1145634|Martin Beckmann
1147881|Gabriel Dimattia
1149775|Kim Shuey
1150540|Guoren Zhang
1151326|Yolanda Morbey
1151611|John Hutter
1152646|Braz Camargo
1154300|Xavier Gamboa
1158143|Kyunghee Kim
1159097|Michele Stewart
1160952|Marla Wolf
1169468|Audrey Restorick
1172740|Jagjit Kohli
1174023|Corey Dyck
1181047|Timothy Cobban
1186969|Rita Sharma
1187799|David Shoesmith
1187853|Colleen Richardson
1188726|June Matthews
1194332|Renee Zatzman
1196539|Lars Strother
1197003|Jan Cami
1199078|Aref Bakhtazad
1210053|Michael Capobianco
1216606|Monali Malvankar
1219941|David Navarro
1222752|Mike Moffat
1228853|Elizabeth Hayden
1231119|Janet Chung
1231134|Seung Hwan (mark) Lee
1231729|Patricia Smith
1233749|Wyn Gelynyse
1236165|Andrew Hines
1237349|Rommel Tirona
1238564|Tania Granadillo
1240227|Frank Beier
1241245|Natasha Patrito-Hannon
1241732|Art Zuidema
1241864|Renée Pereira
1247963|Prabhjot Parmar
1250839|Kristin Lozanski
1251045|Samantha Doralp
1254393|Steven Bruhm
1255581|Chandan Chakraborty
1256640|Laura Huey
1258670|Troy Ducharme
1259171|Mike Burrell
1259868|Sheldon Joyner
1260064|Brian Pagenkopf
1260141|Marc Kosciejew
1261889|Mary Copps-Sutherland
1265402|Bobbi Thompson
1269404|Scott Wier
1271769|Stephen Burgess-Whiting
1272801|Kathryn McArthur
1273540|Amanda Moehring
1274120|Marsha Branco
1283701|Deanna Friesen
1283703|Joshua Barath
1283968|Stephanie Kelly
1284294|Bethany White
1284653|Yao Li
1286701|Phil McCausland
1287601|Cynthia Scheuer
1289059|Agata Dusko
1289688|Robert Sandieson
1293698|Marianna Hosking
1293756|Carol Agocs
1294017|Benoit Trudel
1296267|Colussi Colussi
1296283|Ferrero Ferrero
1296785|Gregg Redner
1296872|Adam Metzler
1297154|Adelle Knutt
1298732|Radu Capitan Dan
1301168|Ian Dunn
1301393|Gomez Gomez
1302702|Pizzale Norm
1302949|Provost Provost
1302951|S. Provost
1303947|Sarah Bassnett
1305386|Michael Fox
1307021|Hiro Nasahara
1307355|Michael Buzzelli
1307451|Andrew Botterell
1308297|Diala Al-Dabbas
1310153|Lesley MacAskill
1311881|Kesena Bushmeneva
1324229|Mikko Karttunen
1327105|Mary King
1327404|Anupam Das
1328497|John Knight
1329878|Shiva Singh
